logger,variable,site,month,value
gradient,Tair,H,2012-11-15,-1.2328959619341564
otc,Tair,H,2012-11-15,NA
gradient,Tair,A,2012-11-15,NA
otc,Tair,A,2012-11-15,NA
gradient,Tair,M,2012-11-15,-0.16477610596707823
otc,Tair,M,2012-11-15,NA
gradient,Tair,L,2012-11-15,NA
otc,Tair,L,2012-11-15,NA
gradient,Tair,H,2012-12-15,-5.58047930091779
otc,Tair,H,2012-12-15,NA
gradient,Tair,A,2012-12-15,NA
otc,Tair,A,2012-12-15,NA
gradient,Tair,M,2012-12-15,-3.8856219592373438
otc,Tair,M,2012-12-15,NA
gradient,Tair,L,2012-12-15,NA
otc,Tair,L,2012-12-15,NA
gradient,Tair,H,2013-01-15,-5.738403275587415
otc,Tair,H,2013-01-15,NA
gradient,Tair,A,2013-01-15,-5.807926747311828
otc,Tair,A,2013-01-15,NA
gradient,Tair,M,2013-01-15,-5.319846923536439
otc,Tair,M,2013-01-15,NA
gradient,Tair,L,2013-01-15,-4.675443423934687
otc,Tair,L,2013-01-15,NA
gradient,Tair,H,2013-02-15,-0.365753692680776
otc,Tair,H,2013-02-15,NA
gradient,Tair,A,2013-02-15,-0.23264798280423282
otc,Tair,A,2013-02-15,NA
gradient,Tair,M,2013-02-15,0.3653148423721341
otc,Tair,M,2013-02-15,NA
gradient,Tair,L,2013-02-15,0.40715856481481477
otc,Tair,L,2013-02-15,NA
gradient,Tair,H,2013-03-15,-1.9093872814133765
otc,Tair,H,2013-03-15,NA
gradient,Tair,A,2013-03-15,-0.953599537037037
otc,Tair,A,2013-03-15,NA
gradient,Tair,M,2013-03-15,1.0774470662189717
otc,Tair,M,2013-03-15,NA
gradient,Tair,L,2013-03-15,2.6260472670250894
otc,Tair,L,2013-03-15,NA
gradient,Tair,H,2013-04-15,-0.12197018204645331
otc,Tair,H,2013-04-15,NA
gradient,Tair,A,2013-04-15,1.160820899024024
otc,Tair,A,2013-04-15,NA
gradient,Tair,M,2013-04-15,3.041752503241326
otc,Tair,M,2013-04-15,NA
gradient,Tair,L,2013-04-15,4.876947019350811
otc,Tair,L,2013-04-15,NA
gradient,Tair,H,2013-05-15,2.53265929908403
otc,Tair,H,2013-05-15,3.7929659498207884
gradient,Tair,A,2013-05-15,3.393935807447232
otc,Tair,A,2013-05-15,NA
gradient,Tair,M,2013-05-15,5.3662676722421345
otc,Tair,M,2013-05-15,7.320766129032258
gradient,Tair,L,2013-05-15,7.396820987654321
otc,Tair,L,2013-05-15,7.4764190012180265
gradient,Tair,H,2013-06-15,6.685702758608391
otc,Tair,H,2013-06-15,8.620717592592593
gradient,Tair,A,2013-06-15,7.651474650271763
otc,Tair,A,2013-06-15,10.226999677037355
gradient,Tair,M,2013-06-15,9.257536158312849
otc,Tair,M,2013-06-15,12.159050925925927
gradient,Tair,L,2013-06-15,11.428398054799878
otc,Tair,L,2013-06-15,NA
gradient,Tair,H,2013-07-15,8.440994001393866
otc,Tair,H,2013-07-15,9.62359928283281
gradient,Tair,A,2013-07-15,9.60427344683393
otc,Tair,A,2013-07-15,10.984813929668828
gradient,Tair,M,2013-07-15,11.363560458980485
otc,Tair,M,2013-07-15,13.016334304279633
gradient,Tair,L,2013-07-15,13.35029806352051
otc,Tair,L,2013-07-15,NA
gradient,Tair,H,2013-08-15,7.300481679256751
otc,Tair,H,2013-08-15,8.872267025089606
gradient,Tair,A,2013-08-15,8.817941722410447
otc,Tair,A,2013-08-15,10.859610215053763
gradient,Tair,M,2013-08-15,10.724129306098797
otc,Tair,M,2013-08-15,13.091689068100358
gradient,Tair,L,2013-08-15,12.967604263582743
otc,Tair,L,2013-08-15,NA
gradient,Tair,H,2013-09-15,4.139898814413231
otc,Tair,H,2013-09-15,5.127407407407407
gradient,Tair,A,2013-09-15,5.2771856336751926
otc,Tair,A,2013-09-15,6.900023148148148
gradient,Tair,M,2013-09-15,6.894227542029225
otc,Tair,M,2013-09-15,8.739592498263487
gradient,Tair,L,2013-09-15,8.806004484613373
otc,Tair,L,2013-09-15,NA
gradient,Tair,H,2013-10-15,-0.279663082437276
otc,Tair,H,2013-10-15,0.8085349462365591
gradient,Tair,A,2013-10-15,0.8374845430107527
otc,Tair,A,2013-10-15,2.5771729390681
gradient,Tair,M,2013-10-15,2.501192428315412
otc,Tair,M,2013-10-15,4.400268817204301
gradient,Tair,L,2013-10-15,4.35947311827957
otc,Tair,L,2013-10-15,3.2976971790443295
gradient,Tair,H,2013-11-15,-2.7624182931496364
otc,Tair,H,2013-11-15,-1.253587962962963
gradient,Tair,A,2013-11-15,-2.278242612504978
otc,Tair,A,2013-11-15,0.8331018518518519
gradient,Tair,M,2013-11-15,-1.171292633992548
otc,Tair,M,2013-11-15,2.6213425925925926
gradient,Tair,L,2013-11-15,0.2733705931016927
otc,Tair,L,2013-11-15,0.39628424193110934
gradient,Tair,H,2013-12-15,-7.104338423436878
otc,Tair,H,2013-12-15,-5.868481182795699
gradient,Tair,A,2013-12-15,-6.634402653325369
otc,Tair,A,2013-12-15,-4.036178315412187
gradient,Tair,M,2013-12-15,-5.647865703405018
otc,Tair,M,2013-12-15,-2.28214605734767
gradient,Tair,L,2013-12-15,-4.556700368379132
otc,Tair,L,2013-12-15,-4.660176568837986
gradient,Tair,H,2014-01-15,-5.031678308874913
otc,Tair,H,2014-01-15,-3.780752856822765
gradient,Tair,A,2014-01-15,-4.851216509532788
otc,Tair,A,2014-01-15,-2.3438844086021504
gradient,Tair,M,2014-01-15,-3.8840021781017007
otc,Tair,M,2014-01-15,-0.22260811113600715
gradient,Tair,L,2014-01-15,-3.4809574367132767
otc,Tair,L,2014-01-15,-3.3838366336633663
gradient,Tair,H,2014-02-15,-3.149766589506173
otc,Tair,H,2014-02-15,-1.7766369047619048
gradient,Tair,A,2014-02-15,-3.5182656801146384
otc,Tair,A,2014-02-15,-0.6387896825396825
gradient,Tair,M,2014-02-15,-3.434341931216931
otc,Tair,M,2014-02-15,0.04312996031746034
gradient,Tair,L,2014-02-15,-3.0591123787477956
otc,Tair,L,2014-02-15,-3.158306010928962
gradient,Tair,H,2014-03-15,-2.1201627276249515
otc,Tair,H,2014-03-15,-0.8581541218637992
gradient,Tair,A,2014-03-15,-1.5649502190362405
otc,Tair,A,2014-03-15,0.8448924731182795
gradient,Tair,M,2014-03-15,-0.4827158137500497
otc,Tair,M,2014-03-15,1.8077284946236558
gradient,Tair,L,2014-03-15,0.6260642734642967
otc,Tair,L,2014-03-15,0.6207270101107366
gradient,Tair,H,2014-04-15,0.4567871588121705
otc,Tair,H,2014-04-15,2.0075729504400184
gradient,Tair,A,2014-04-15,1.4386466454521347
otc,Tair,A,2014-04-15,NA
gradient,Tair,M,2014-04-15,3.1030879509888445
otc,Tair,M,2014-04-15,5.471636952998379
gradient,Tair,L,2014-04-15,5.363928667745415
otc,Tair,L,2014-04-15,4.71336661120355
gradient,Tair,H,2014-05-15,3.3940325491936676
otc,Tair,H,2014-05-15,4.441442652329749
gradient,Tair,A,2014-05-15,NA
otc,Tair,A,2014-05-15,NA
gradient,Tair,M,2014-05-15,5.410360095854827
otc,Tair,M,2014-05-15,7.261447132616487
gradient,Tair,L,2014-05-15,7.463408888888889
otc,Tair,L,2014-05-15,6.531138259833135
gradient,Tair,H,2014-06-15,5.07531712962963
otc,Tair,H,2014-06-15,6.297962962962963
gradient,Tair,A,2014-06-15,NA
otc,Tair,A,2014-06-15,NA
gradient,Tair,M,2014-06-15,7.614556712962963
otc,Tair,M,2014-06-15,9.254351851851851
gradient,Tair,L,2014-06-15,9.585006687242798
otc,Tair,L,2014-06-15,NA
gradient,Tair,H,2014-07-15,7.237243130227001
otc,Tair,H,2014-07-15,8.42665770609319
gradient,Tair,A,2014-07-15,NA
otc,Tair,A,2014-07-15,NA
gradient,Tair,M,2014-07-15,10.363251443647949
otc,Tair,M,2014-07-15,12.302374551971326
gradient,Tair,L,2014-07-15,12.42113388590203
otc,Tair,L,2014-07-15,NA
gradient,Tair,H,2014-08-15,5.917296871085171
